Name,Price,Growth,Monthly Growth,Subs,Funds,Weeks,Trades,Winrate,DD
ICMARKETS 783,30 USD,178%,Profit/Month: 2%,0,0 USD,159,2 537,81%,27%
Muilt Ai 1,30 USD,222%,Profit/Month: 30%,0,0 USD,21,1 502,75%,26%
EasyWork,30 USD,173%,Profit/Month: 11%,0,0 USD,43,637,54%,30%
TradeToday Risk 1,85 USD,175%,Profit/Month: 23%,1,0 USD,57,634,47%,23%
EU Closing Market MEDIUM RISK,30 USD,169%,Profit/Month: -6%,0,0 USD,46,2 636,57%,17%
Grid Pro,30 USD,187%,Profit/Month: 3%,0,0 USD,81,457,80%,44%
TridentHKK50,45 USD,167%,Profit/Month: 2%,0,0 USD,20,78,56%,20%
Low Risk High Gain Yearly,30 USD,167%,Profit/Month: -5%,0,0 USD,51,603,61%,39%
NASDAQ Trade in hands,30 USD,275%,Profit/Month: 12%,1,0 USD,50,1 085,90%,25%
Greenpips,30 USD,172%,Profit/Month: 11%,0,0 USD,29,431,58%,42%
EMS testing with News and VIX Filter,35 USD,165%,Profit/Month: 1%,0,0 USD,169,2 514,67%,39%
Bushmills Reborn,30 USD,42%,Profit/Month: -12%,8,45K USD,47,1 028,92%,28%
Step by step,30 USD,158%,Profit/Month: 8%,1,0 USD,56,737,35%,19%
Blazar,30 USD,193%,Profit/Month: 9%,0,0 USD,67,403,82%,46%
Alp scalper,30 USD,156%,Profit/Month: 5%,0,0 USD,160,5 260,70%,34%
Tevet Capital,30 USD,197%,Profit/Month: 6%,1,0 USD,220,15 526,46%,47%
BreakOutScalperFP,40 USD,303%,Profit/Month: 33%,0,0 USD,17,206,62%,49%
M2PRO,30 USD,167%,Profit/Month: 36%,0,0 USD,21,321,63%,33%
WebMasterMaksim BF,30 USD,177%,Profit/Month: 19%,0,0 USD,24,525,69%,33%
Automatic Real Pips,30 USD,162%,Profit/Month: 12%,0,0 USD,63,305,72%,38%
FeelGood,30 USD,153%,Profit/Month: 7%,0,0 USD,186,860,64%,28%
Banker,30 USD,151%,Profit/Month: -1%,0,0 USD,136,2 463,68%,25%
Dream Big,30 USD,163%,Profit/Month: 29%,0,0 USD,13,51,60%,23%
Olaf2,39 USD,162%,Profit/Month: 22%,0,0 USD,13,402,79%,25%
Fxindo22,30 USD,228%,Profit/Month: 2%,0,0 USD,89,3 213,77%,48%
TranslatorRobo,30 USD,151%,Profit/Month: 12%,0,0 USD,69,146,36%,35%
Perfect Score,30 USD,415%,Profit/Month: 43%,72,178K USD,16,41,100%,12%
ICE AND FIRE,30 USD,152%,Profit/Month: -11%,0,0 USD,41,1 406,64%,39%
SDBG Tokyo Trade,30 USD,149%,Profit/Month: -1%,1,450 USD,120,4 272,69%,26%
AutoPST EX REAL,30 USD,149%,Profit/Month: 2%,0,0 USD,252,475,65%,29%
CruiserPro78,30 USD,225%,Profit/Month: 9%,0,0 USD,22,823,62%,48%
GapFixer Gap1,30 USD,1 193%,Profit/Month: 0%,0,0 USD,110,2 339,59%,31%
YiDione,300 USD,367%,Profit/Month: -18%,0,0 USD,92,206,42%,36%
BG Night Mix,30 USD,148%,Profit/Month: -2%,0,0 USD,133,2 046,80%,20%
DiverPNZ,30 USD,150%,Profit/Month: 12%,0,0 USD,45,113,76%,34%
BG Robonight,20 USD,156%,Profit/Month: 0%,0,0 USD,179,949,81%,36%
Sunrise RUR,30 USD,144%,Profit/Month: 0%,0,0 USD,189,4 758,70%,24%
Triton FX,30 USD,145%,Profit/Month: 7%,0,0 USD,82,947,70%,32%
Vesperium PAMM,30 USD,143%,Profit/Month: 2%,1,8.8K USD,152,4 752,77%,26%
BrCanada,30 USD,142%,Profit/Month: 7%,1,2.9K USD,80,1 854,69%,27%
KOB EURUSD KushChehra,39 USD,165%,Profit/Month: -4%,0,0 USD,44,2 620,78%,43%
Hasty412 WT,37 USD,144%,Profit/Month: 0%,0,0 USD,19,1 752,63%,38%
BG Grid 2,30 USD,140%,Profit/Month: 4%,0,0 USD,81,1 140,72%,34%
B1,36 USD,143%,Profit/Month: 3%,0,0 USD,55,819,78%,39%
Candelabrum Quiet,30 USD,259%,Profit/Month: -5%,0,0 USD,102,454,70%,25%
LifeHua20190620,30 USD,140%,Profit/Month: 21%,0,0 USD,52,331,58%,12%
